word,x,y,cluster,frequency
mehow,24.423418,-2.0020137,-1,30
family,23.942713,-4.2114377,-1,30
come,25.775291,-1.907438,0,30
scary,28.049719,-2.907095,-1,30
might,27.365793,-4.35259,-1,30
notice,27.37284,-2.5232882,-1,30
reflecting,25.146887,-2.3375726,-1,30
showing,24.950724,-2.1633227,-1,30
true,25.34143,-4.6661663,-1,30
disappointwhats,24.909515,-3.4019234,-1,30
art,21.425226,-3.5759516,-1,30
form,21.480988,-3.5186303,-1,30
shape,21.792269,-4.63902,-1,30
shift,21.524448,-3.7551184,-1,30
everyones,21.780254,-3.7208076,-1,30
forget,21.489395,-3.6311123,-1,30
wonderwho,24.65991,-1.7880946,-1,30
must,24.291191,-1.8353951,-1,30
fall,25.954712,-3.3741257,-1,30
there,22.674852,-4.8578134,0,30
impress,23.907299,-2.3161016,-1,30
who,23.25346,-2.0796947,-1,30
self,22.826506,-4.027906,0,30
listen,26.586554,-4.1931577,-1,30
music,26.215641,-5.807657,-1,30
actually,27.18574,-4.6549997,0,30
default,26.574926,-2.8484416,-1,30
whatever,26.50682,-3.9801404,-1,30
sound,27.140272,-3.8418663,-1,30
best,25.981632,-4.6413183,0,30
shared,27.223562,-4.0938025,-1,30
playlist,26.786646,-3.6777399,-1,30
trained,27.989714,-3.1558013,-1,30
humor,26.954763,-3.6914182,-1,30
moment,21.52842,-3.958785,-1,30
expandwhatever,21.363186,-4.0110373,-1,30
shrink,21.65987,-3.7441876,-1,30
adjust,21.951565,-3.4341338,-1,30
waking,24.883713,-3.0322225,-1,30
realizing,25.01953,-1.4665934,-1,30
asked,22.545801,-5.021693,-1,30
happy,25.087723,-5.2993317,-1,30
believe,22.17665,-4.9997077,-1,30
paying,27.491821,-4.532148,-1,30
attention,22.949003,-4.1648355,0,30
drain,25.01249,-3.3080976,-1,30
disappoints,26.646975,-3.621184,-1,30
yes,23.508364,-4.0919113,-1,30
ignored,26.980745,-3.7686636,1,30
owe,26.653263,-4.6309457,-1,30
live,24.516075,-4.0608263,-1,30
firm,23.037624,-5.0978675,-1,30
whether,23.654291,-5.5933247,-1,30
listenyouve,23.148016,-4.1973023,-1,30
kid,23.764332,-5.696551,-1,30
reliable,23.861319,-5.5849214,-1,30
wrong,22.27247,-4.038388,-1,30
mess,23.939787,-4.5036273,0,30
room,21.525963,-3.9599621,-1,30
step,21.622257,-3.777642,-1,30
inside,21.337336,-3.7967424,-1,30
deeplyartificial,27.247166,-4.936239,-1,26
